,an,NO_SEQ_COLL,DT_ACCDN,heure_accdn,JR_SEMN_ACCDN,gravite,NB_MORTS,NB_BLESSES_GRAVES,NB_BLESSES_LEGERS,NB_VICTIMES_TOTAL,NB_VEH_IMPLIQUES_ACCDN,NB_DECES_PIETON,NB_BLESSES_PIETON,NB_VICTIMES_PIETON,NB_DECES_MOTO,NB_BLESSES_MOTO,NB_VICTIMES_MOTO,NB_DECES_VELO,NB_BLESSES_VELO,NB_VICTIMES_VELO,CD_MUNCP,REG_ADM,MRC,NO_CIVIQ_ACCDN,SFX_NO_CIVIQ_ACCDN,RUE_ACCDN,TP_REPRR_ACCDN,ACCDN_PRES_DE,NO_ROUTE,CD_PNT_CDRNL_ROUTE,BORNE_KM_ACCDN,NB_METRE_DIST_ACCD,CD_PNT_CDRNL_REPRR,VITESSE_AUTOR,CD_GENRE_ACCDN,CD_SIT_PRTCE_ACCDN,CD_ETAT_SURFC,CD_ECLRM,CD_ENVRN_ACCDN,CD_CATEG_ROUTE,CD_ETAT_CHASS,CD_ASPCT_ROUTE,CD_LOCLN_ACCDN,CD_POSI_ACCDN,CD_CONFG_ROUTE,CD_ZON_TRAVX_ROUTR,CD_COND_METEO,nb_automobile_camion_leger,nb_camionLourd_tractRoutier,nb_outil_equipement,nb_tous_autobus_minibus,nb_bicyclette,nb_cyclomoteur,nb_motocyclette,nb_taxi,nb_urgence,nb_motoneige,nb_VTT,nb_autres_types,nb_veh_non_precise,address,lat,lon
32944,2015,2015 _ 32945,2015-01-09,08:00:00-08:59:00,VE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,STAT PL MICHEL LAVEAU,2.0,TERRAIN DE SOCCER,,,,,,,31.0,3.0,16.0,1.0,3.0,14.0,,11.0,99.0,,2.0,,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 STAT PL MICHEL LAVEAU,0.0,0.0
32945,2015,2015 _ 32946,2015-01-13,13:00:00-13:59:00,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),30.0,,BD BASTIEN,2.0,STAT,,,,,,,31.0,,16.0,1.0,3.0,21.0,,11.0,40.0,,,,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,30 BD BASTIEN,46.8574802,-71.3395394
32946,2015,2015 _ 32947,2015-01-19,14:00:00-14:59:00,LU,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,,1.0,FRANCOIS GROS LOUIS,,,,,,30.0,40.0,,,,2.0,14.0,,13.0,32.0,,2.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,34.220389,70.3800314
32947,2015,2015 _ 32948,2015-01-26,15:00:00-15:59:00,LU,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),91.0,,BD BASTIEN,,,369.0,,,,E,50.0,31.0,,,1.0,3.0,12.0,,11.0,33.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,91 BD BASTIEN,46.8564372875,-71.3521729
32948,2015,2015 _ 32949,2015-02-10,13:00:00-13:59:00,MA,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),115.0,,DE LA TORTUE,,,,,,,,30.0,42.0,3.0,16.0,1.0,2.0,14.0,,11.0,34.0,,2.0,,11.0,0,0,1,0,0,0,0,0,0,0,0,0,0,115 DE LA TORTUE,20.0318452,-72.7047664
32949,2015,2015 _ 32950,2015-02-24,13:00:00-13:59:00,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,ALEXANDRE DUCHESNEAU,1.0,ALPHONSE T PICARD,,,,,S,30.0,31.0,,17.0,1.0,2.0,14.0,,11.0,32.0,,2.0,,12.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 ALEXANDRE DUCHESNEAU,46.8565055,-71.3544531
32950,2015,2015 _ 32951,2015-02-27,07:00:00-07:59:00,VE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),535.0,,DE L ERABLE,,,,,,,,30.0,31.0,,16.0,1.0,2.0,14.0,,11.0,34.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,535 DE L ERABLE,0.0,0.0
32951,2015,2015 _ 32952,2015-03-15,18:00:00-18:59:00,DI,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),505.0,,CHEF STANISLAS KOSKA,,,,,,,,,31.0,,18.0,2.0,2.0,21.0,,13.0,,,,,12.0,2,0,0,0,0,0,0,0,0,0,0,0,0,505 CHEF STANISLAS KOSKA,46.8662872,-71.363346
32952,2015,2015 _ 32953,2015-03-17,14:00:00-14:59:00,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),20.0,,NICOLAS VINCENT,2.0,FACE AU 20 NICOLAS VINCENT,,,,,,,31.0,,18.0,1.0,2.0,14.0,,11.0,99.0,,2.0,,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,20 NICOLAS VINCENT,46.8563997,-71.3551578
32953,2015,2015 _ 32954,2015-04-06,14:00:00-14:59:00,LU,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),2409.0,,DE LA FAUNE STATION SERV EKO,2.0,STATION SERV EKO DE WENDAKE,,,,,,,31.0,,11.0,2.0,3.0,21.0,,11.0,40.0,,4.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2409 DE LA FAUNE STATION SERV EKO,0.0,0.0
32954,2015,2015 _ 32955,2015-04-16,08:00:00-08:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,,1.0,MAX GROS LOUIS ET CHEVREUIL,,,,,,50.0,31.0,,11.0,1.0,2.0,14.0,,11.0,32.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,34.220389,70.3800314
32955,2015,2015 _ 32956,2015-04-19,17:00:00-17:59:00,DI,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,CHEF CLAUDE SIOUI,1.0,CHEF MAURICE SEBASTIEN,,,,,,,31.0,,11.0,1.0,2.0,14.0,,11.0,32.0,,2.0,,11.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1 CHEF CLAUDE SIOUI,46.8716012,-71.3665889
32956,2015,2015 _ 32957,2015-05-03,13:00:00-13:59:00,DI,Léger,0,0,1,1,2,0,0,0,0,0,0,0,1,1,23802,Capitale-Nationale(03),Québec (23 ),,,,,,,,,,,,31.0,,11.0,1.0,3.0,16.0,1.0,12.0,32.0,,2.0,,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,,34.220389,70.3800314
32957,2015,2015 _ 32958,2015-05-07,Non précisé,JE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,DE L ERABLE,1.0,DE L ORME,,,,,,,40.0,,,,2.0,14.0,,11.0,32.0,,2.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1 DE L ERABLE,0.0,0.0
32958,2015,2015 _ 32959,2015-05-08,Non précisé,VE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),70.0,,NICOLAS VINCENT,,,,,,,,,31.0,,,,2.0,14.0,,11.0,32.0,,2.0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,70 NICOLAS VINCENT,46.8564667026,-71.3552194327
32959,2015,2015 _ 32960,2015-05-11,19:00:00-19:59:00,LU,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),409.0,,THOMAS MARTIN,,,,,,,,30.0,31.0,,12.0,1.0,2.0,14.0,,11.0,33.0,,2.0,,14.0,2,0,0,0,0,0,0,0,0,0,0,0,0,409 THOMAS MARTIN,39.3972342727,-101.039678091
32960,2015,2015 _ 32961,2015-05-12,Non précisé,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),417.0,,MAX GROS LOUIS,,,,,,,,,31.0,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,417 MAX GROS LOUIS,46.865207104,-71.360752806
32961,2015,2015 _ 32962,2015-06-09,16:00:00-16:59:00,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),20.0,,DE L OURS,,,,,,,,,31.0,,11.0,1.0,1.0,14.0,,11.0,99.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,20 DE L OURS,47.084098,6.801732
32962,2015,2015 _ 32963,2015-06-20,17:00:00-17:59:00,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),640.0,,CHEF MAX GROS LOUIS,,,,,,,,,31.0,,11.0,1.0,3.0,21.0,,11.0,99.0,,1.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,640 CHEF MAX GROS LOUIS,46.8675296,-71.3627679
32963,2015,2015 _ 32964,2015-06-27,10:00:00-10:59:00,SA,Léger,0,0,1,1,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,ALPHONSE PICARD,1.0,HERMENEGILDE VINCENT,,,,,,,31.0,,11.0,1.0,2.0,14.0,1.0,13.0,32.0,6.0,2.0,,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1 ALPHONSE PICARD,46.8576154,-71.3541537
32964,2015,2015 _ 32965,2015-07-04,19:00:00-19:59:00,SA,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),10.0,,BD BASTIEN,,,,,,,,,49.0,,11.0,2.0,3.0,,,13.0,33.0,,1.0,,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,10 BD BASTIEN,46.8557141,-71.3557473
32965,2015,2015 _ 32966,2015-07-13,12:00:00-12:59:00,LU,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),600.0,,JEAN PICARD,,,,,,,,,42.0,,11.0,1.0,2.0,14.0,,11.0,33.0,,2.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,600 JEAN PICARD,46.8699082,-71.3604112
32966,2015,2015 _ 32967,2015-07-31,13:00:00-13:59:00,VE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),10.0,,BD BASTIEN WENDAKE,,,,,,,,,31.0,,11.0,1.0,3.0,21.0,,11.0,99.0,,1.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,10 BD BASTIEN WENDAKE,46.8557141,-71.3557473
32967,2015,2015 _ 32968,2015-08-11,12:00:00-12:59:00,MA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,HERMENINSILD VINCENT,1.0,HURON,,,,,O,30.0,31.0,,12.0,1.0,2.0,16.0,,22.0,32.0,,2.0,,15.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 HERMENINSILD VINCENT,0.0,0.0
32968,2015,2015 _ 32969,2015-09-19,14:00:00-14:59:00,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),25.0,,PIERRE ALBERT PICARD,,,,,,,,,31.0,,11.0,,2.0,14.0,,11.0,99.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,25 PIERRE ALBERT PICARD,46.8567352,-71.3551831667
32969,2015,2015 _ 32970,2015-10-03,09:00:00-09:59:00,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),75.0,,MAX GROS LOUIS,1.0,JEUNE LORETTE,,,,,,50.0,31.0,,11.0,1.0,2.0,14.0,,11.0,32.0,,2.0,,11.0,1,0,0,0,0,0,0,1,0,0,0,0,0,75 MAX GROS LOUIS,46.8588489352,-71.3548936676
32970,2015,2015 _ 32971,2015-10-08,12:00:00-12:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),100.0,,DE L OURS,,,,,,,E,,31.0,,11.0,1.0,1.0,21.0,,11.0,99.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,100 DE L OURS,0.0,0.0
32971,2015,2015 _ 32972,2015-10-19,Non précisé,LU,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),465.0,,MAX GROS LOUIS,2.0,FACE 465 MAX GROS LOUIS,,,,,,50.0,31.0,,11.0,1.0,2.0,14.0,,11.0,34.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,465 MAX GROS LOUIS,46.86607984,-71.36156991
32972,2015,2015 _ 32973,2015-10-30,13:00:00-13:59:00,VE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),2938.0,,DE LA FAUNE,,,,,,,,,31.0,,11.0,1.0,3.0,21.0,,11.0,40.0,,9.0,,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,2938 DE LA FAUNE,50.2059342,2.532812
32973,2015,2015 _ 32974,2015-11-03,10:00:00-10:59:00,MA,Dommages matériels seulement,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,MAX GROS LOUIS,1.0,DE LA FAUNE,,,,,S,50.0,31.0,,12.0,1.0,2.0,14.0,,11.0,32.0,,2.0,,14.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1 MAX GROS LOUIS,46.8675296,-71.3627679
32974,2015,2015 _ 32975,2015-12-19,11:00:00-11:59:00,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),180.0,,CHEF MAX GROS LOUIS,,,,,,,,,31.0,,11.0,1.0,2.0,14.0,,11.0,34.0,,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,180 CHEF MAX GROS LOUIS,46.8604945545,-71.3560628727
32975,2015,2015 _ 32976,2015-12-28,08:00:00-08:59:00,LU,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),10.0,,BD BASTIEN,,,,,,,,,31.0,,18.0,1.0,3.0,19.0,,14.0,99.0,,1.0,,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,10 BD BASTIEN,46.8557141,-71.3557473
32976,2015,2015 _ 32977,2015-12-31,10:00:00-10:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23802,Capitale-Nationale(03),Québec (23 ),,,,,,,,,,,,31.0,,16.0,1.0,3.0,21.0,,11.0,99.0,,2.0,,11.0,1,0,0,0,0,0,0,1,0,0,0,0,0,,34.220389,70.3800314
32998,2015,2015 _ 32999,2015-03-07,16:00:00-16:59:00,SA,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,,1.0,,,,,,,,31.0,,11.0,1.0,,21.0,,11.0,40.0,,,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,1,,34.220389,70.3800314
40704,2015,2015 _ 40705,2015-12-18,13:00:00-13:59:00,VE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,CLEMENCEAU,1.0,AV ST DAVID,,,,,,50.0,31.0,,12.0,1.0,3.0,13.0,,11.0,33.0,,3.0,,12.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 CLEMENCEAU,42.7003504,2.890218
40705,2015,2015 _ 40706,2015-01-01,12:00:00-12:59:00,JE,Dommages matériels seulement,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,HENRI BOURASSA,1.0,DU ZOO,,,,,,50.0,31.0,9.0,12.0,1.0,5.0,13.0,,11.0,32.0,,2.0,,17.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1 HENRI BOURASSA,45.5544766,-73.6681514
40706,2015,2015 _ 40707,2015-01-01,14:00:00-14:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),69.0,,MERCIER,,,,,,,,50.0,31.0,,16.0,1.0,2.0,14.0,,11.0,34.0,,2.0,,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,69 MERCIER,45.3112866,-73.745376
40707,2015,2015 _ 40708,2015-01-01,16:00:00-16:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,LOUIS XVI,1.0,SEIGNEURIAL,,,,,O,50.0,31.0,,16.0,2.0,3.0,13.0,,11.0,32.0,,,,17.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 LOUIS XVI,47.2201135,-1.5492901
40708,2015,2015 _ 40709,2015-01-01,18:00:00-18:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),1885.0,,CH DE BELAIR,,,,,,,N,,31.0,,16.0,,2.0,15.0,,21.0,,,2.0,,17.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1885 CH DE BELAIR,46.8566434608,-71.4998321016
40709,2015,2015 _ 40710,2015-01-01,17:00:00-17:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),2639.0,,VERSANT N,,,,,,,,50.0,50.0,,16.0,3.0,3.0,13.0,,11.0,34.0,,2.0,,17.0,1,0,0,0,0,0,0,0,0,0,0,0,1,2639 VERSANT N,29.7157076,-98.658149
40710,2015,2015 _ 40711,2015-01-01,19:00:00-19:59:00,JE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,FAUNE,1.0,VENUS,,,,400.0,,70.0,43.0,,16.0,3.0,2.0,13.0,1.0,11.0,34.0,6.0,2.0,,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 FAUNE,49.8266897,-64.3436836
40711,2015,2015 _ 40712,2015-01-01,21:00:00-21:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),1159.0,,ST VALLIER O,,,,,,,,50.0,31.0,,16.0,3.0,2.0,13.0,,11.0,34.0,,2.0,,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1159 ST VALLIER O,0.0,0.0
40712,2015,2015 _ 40713,2015-01-01,23:00:00-23:59:00,JE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,AV DE VITRE,1.0,27E RUE,,,,,,50.0,71.0,,16.0,3.0,2.0,14.0,,11.0,32.0,,2.0,,17.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1 AV DE VITRE,46.8415403,-71.230203
40713,2015,2015 _ 40714,2015-01-01,23:00:00-23:59:00,JE,Dommages matériels seulement,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),,,,1.0,COURONNE ET LALEMENT,,,,,,50.0,50.0,,16.0,3.0,3.0,13.0,,21.0,32.0,,1.0,,17.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,34.220389,70.3800314
40714,2015,2015 _ 40715,2015-01-02,05:00:00-05:59:00,VE,Dommages matériels seulement,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23027,Capitale-Nationale(03),Québec (23 ),7230.0,,DOUCET,,,,,,,,,31.0,,16.0,,2.0,14.0,,13.0,34.0,,2.0,,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,7230 DOUCET,44.5892988,-0.3294983
40715,2015,2015 _ 40716,2015-01-02,08:00:00-08:59:00,VE,Léger,0,0,2,2,2,0,0,0,0,0,0,0,0,0,23072,Capitale-Nationale(03),Québec (23 ),,,RTE RACETTE,1.0,DU TREFLE,,,,,E,50.0,31.0,,16.0,1.0,2.0,14.0,1.0,11.0,32.0,6.0,2.0,,11.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1 RTE RACETTE,46.736742,-71.4609806
40716,2015,2015 _ 40717,2015-01-02,09:00:00-09:59:00,VE,Léger,0,0,3,3,1,0,0,0,0,0,0,0,0,0,23072,Capitale-Nationale(03),Québec (23 ),,,BUTTE,1.0,ST GEORGES,,,,,,70.0,40.0,,18.0,1.0,5.0,13.0,1.0,11.0,99.0,6.0,2.0,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 BUTTE,39.7579562,-121.8654255
